Time Point,SATIRE-M,TSInet
-2465.0,1361.2160000000001,1361.1228751525878
-2475.0,1361.2910000000002,1361.1232232419534
-2485.0,1361.2479999999998,1361.1238148498535
-2495.0,1361.229,1361.1238148498535
-25.0,1361.217,1361.1238148498535
-2505.0,1361.192,1361.1238148498535
-2515.0,1361.118,1361.1238148498535
-2525.0,1361.049,1361.1214439147363
-2535.0,1360.996,1361.1211539154053
-2545.0,1360.96,1361.1211539154303
-255.0,1360.95,1361.12115391538
-2555.0,1360.979,1361.1211539154053
-2565.0,1360.971,1361.1263530361396
-2575.0,1360.896,1361.1337851257324
-2585.0,1360.84,1361.1337851257324
-2595.0,1360.8829999999998,1361.1337851257324
-2605.0,1360.9620000000002,1361.1337851257324
-2615.0,1360.941,1361.1337851257324
-2625.0,1360.839,1361.121603218852
-2635.0,1360.76,1361.1207138671875
-2645.0,1360.786,1361.1207138671875
-265.0,1360.851,1361.1207138671875
-2655.0,1360.908,1361.1207138671875
-2665.0,1360.951,1361.1254846310633
-2675.0,1360.985,1361.1312521362304
-2685.0,1361.0510000000002,1361.1312521362304
-2695.0,1361.124,1361.1312521362304
-2705.0,1361.226,1361.1312521362304
-2715.0,1361.192,1361.1312521362304
-2725.0,1361.0839999999998,1361.1248335180496
-2735.0,1361.013,1361.1246544799806
-2745.0,1361.088,1361.1246544799806
-275.0,1361.1770000000001,1361.1246544799806
-2755.0,1361.09,1361.1246544799806
-2765.0,1361.016,1361.1474790043494
-2775.0,1361.027,1361.1707883605957
-2785.0,1361.122,1361.1707883605957
-2795.0,1361.2320000000002,1361.1707883605957
-2805.0,1361.2479999999998,1361.1707883605957
-2815.0,1361.205,1361.1793415029363
-2825.0,1361.092,1361.4995214154303
-2835.0,1360.954,1361.4995214149037
-2845.0,1360.862,1361.4995214144271
-285.0,1360.817,1361.4995214141761
-2855.0,1360.7910000000002,1361.4995214136995
-2865.0,1360.773,1361.3010672861512
-2875.0,1360.855,1361.1356949157714
-2885.0,1360.9489999999998,1361.1356949157714
-2895.0,1361.0870000000002,1361.1356949157714
-2905.0,1361.221,1361.1356949157714
-2915.0,1361.2939999999999,1361.1354789167096
-2925.0,1361.1889999999999,1361.1317743530274
-2935.0,1361.099,1361.1317743530274
-2945.0,1361.129,1361.1317743530274
-295.0,1361.1770000000001,1361.1317743530274
-2955.0,1361.181,1361.1317743530274
-2965.0,1361.192,1361.345226793121
-2975.0,1361.2,1361.494240600586
-2985.0,1361.144,1361.494240600586
-2995.0,1361.059,1361.494240600586
-3005.0,1361.0729999999999,1361.494240600586
-3015.0,1361.141,1361.4524492989067
-3025.0,1361.201,1361.1138876037598
-3035.0,1361.2,1361.1138876037598
-3045.0,1361.1029999999998,1361.1138876037598
-305.0,1361.047,1361.1138876037598
-3055.0,1361.0279999999998,1361.1138876037598
-3065.0,1360.9479999999999,1361.3513455620503
-3075.0,1360.8139999999999,1361.4976844239118
-3085.0,1360.797,1361.4977236476616
-3095.0,1360.915,1361.4976957364686
-3105.0,1361.111,1361.4977337391808
-3115.0,1361.2420000000002,1361.4943242264087
-3125.0,1361.172,1361.4748172777568
-3135.0,1361.115,1361.4748173238843
-3145.0,1361.098,1361.4748172807417
-315.0,1361.039,1361.4748173303055
-3155.0,1360.924,1361.4748172752736
-3165.0,1360.825,1361.255502351024
-3175.0,1360.691,1361.176258544922
-3185.0,1360.5410000000002,1361.176258544922
-3195.0,1360.473,1361.176258544922
-3205.0,1360.5620000000001,1361.176258544922
-3215.0,1360.745,1361.1780454233833
-3225.0,1360.9460000000001,1361.1860931396484
-3235.0,1361.102,1361.1860931396484
-3245.0,1361.098,1361.1860931396484
-325.0,1360.97,1361.1860931396484
-3255.0,1360.886,1361.1860931396484
-3265.0,1360.836,1361.1402897672135
-3275.0,1360.735,1361.1214120025634
-3285.0,1360.719,1361.1214120025886
-3295.0,1360.817,1361.1214120025384
-3305.0,1360.922,1361.1214120025634
-3315.0,1360.994,1361.1205071070758
-3325.0,1360.976,1361.117288330078
-3335.0,1360.896,1361.117288330078
-3345.0,1360.842,1361.117288330078
-335.0,1360.848,1361.117288330078
-3355.0,1360.9170000000001,1361.117288330078
-3365.0,1361.03,1361.1199322135694
-3375.0,1361.09,1361.120859802246
-3385.0,1361.078,1361.120859802246
-3395.0,1361.125,1361.120859802246
-3405.0,1361.2179999999998,1361.120859802246
-3415.0,1361.295,1361.1315409636363
-3425.0,1361.3120000000001,1361.1617855224608
-3435.0,1361.251,1361.1617855224608
-3445.0,1361.055,1361.1617855224608
-345.0,1360.891,1361.1617855224608
-3455.0,1360.954,1361.1617855224608
-3465.0,1361.17,1361.1894745514
-3475.0,1361.2920000000001,1361.1970153808593
-3485.0,1361.226,1361.1970153808593
-3495.0,1361.092,1361.1970153808593
-35.0,1360.987,1361.1970153808593
-3505.0,1360.874,1361.1763922898717
-3515.0,1360.786,1361.129602355957
-3525.0,1360.74,1361.129602355957
-3535.0,1360.737,1361.129602355957
-3545.0,1360.74,1361.129602355957
-355.0,1360.786,1361.129602355957
-3555.0,1360.855,1361.1315672486774
-3565.0,1360.911,1361.131990234375
-3575.0,1361.003,1361.131990234375
-3585.0,1361.142,1361.131990234375
-3595.0,1361.295,1361.131990234375
-3605.0,1361.376,1361.125941813438
-3615.0,1361.4560000000001,1361.1143308105468
-3625.0,1361.491,1361.1143308105468
-3635.0,1361.505,1361.1143308105468
-3645.0,1361.47,1361.1143308105468
-365.0,1361.3929999999998,1361.1143308105468
-3655.0,1361.273,1361.1292231195987
-3665.0,1361.141,1361.131577606201
-3675.0,1361.05,1361.131577606201
-3685.0,1361.0410000000002,1361.131577606201
-3695.0,1361.11,1361.131577606201
-3705.0,1361.1979999999999,1361.1297353952486
-3715.0,1361.266,1361.1267793273926
-3725.0,1361.32,1361.1267793273926
-3735.0,1361.328,1361.1267793273926
-3745.0,1361.2479999999998,1361.1267793273926
-375.0,1361.149,1361.1267793273926
-3755.0,1361.246,1361.1365284585697
-3765.0,1361.394,1361.1375539855958
-3775.0,1361.2620000000002,1361.1375539855958
-3785.0,1361.01,1361.1375539855958
-3795.0,1360.8129999999999,1361.1375539855958
-3805.0,1360.65,1361.1291028751154
-3815.0,1360.5439999999999,1361.1176737670899
-3825.0,1360.599,1361.1176737670899
-3835.0,1360.71,1361.1176737670899
-3845.0,1360.7910000000002,1361.1176737670899
-385.0,1360.8829999999998,1361.1176737670899
-3855.0,1361.07,1361.12708499245
-3865.0,1361.26,1361.1276247253418
-3875.0,1361.42,1361.1276247253418
-3885.0,1361.5529999999999,1361.1276247253418
-3895.0,1361.372,1361.1276247253418
-3905.0,1361.078,1361.3132912058038
-3915.0,1360.904,1361.5164844354833
-3925.0,1360.808,1361.5164843741054
-3935.0,1360.757,1361.516484435383
-3945.0,1360.6779999999999,1361.5164843737793
-395.0,1360.736,1361.5164739736144
-3955.0,1360.9520000000002,1361.3364435898204
-3965.0,1361.161,1361.3342399291992
-3975.0,1361.234,1361.3342399291992
-3985.0,1361.329,1361.3342399291992
-3995.0,1361.474,1361.3342411420597
-4005.0,1361.6029999999998,1361.3276127655781
-4015.0,1361.6029999999998,1361.3199324781779
-4025.0,1361.529,1361.3199324783784
-4035.0,1361.381,1361.3199324785542
-4045.0,1361.105,1361.3199324784036
-405.0,1360.836,1361.339508271827
-4055.0,1360.6770000000001,1361.7495608520508
-4065.0,1360.602,1361.7495608520508
-4075.0,1360.596,1361.7495608520508
-4085.0,1360.61,1361.7495608520508
-4095.0,1360.665,1361.7495608520508
-4105.0,1360.7320000000002,1361.3975524011146
-4115.0,1360.775,1361.1254810180665
-4125.0,1360.817,1361.1254810180665
-4135.0,1360.855,1361.1254810180665
-4145.0,1360.9360000000001,1361.1254810180665
-415.0,1360.971,1361.125840742104
-4155.0,1361.124,1361.1306934814454
-4165.0,1361.315,1361.1306934814454
-4175.0,1361.42,1361.1306934814454
-4185.0,1361.4360000000001,1361.1306934814454
-4195.0,1361.471,1361.1306934814454
-4205.0,1361.476,1361.1227391885502
-4215.0,1361.465,1361.117189682032
-4225.0,1361.471,1361.1171896820067
-4235.0,1361.473,1361.1171896819817
-4245.0,1361.4679999999998,1361.117189682032
-425.0,1361.53,1361.1823619534593
-4255.0,1361.5720000000001,1361.6860604248047
-4265.0,1361.644,1361.6860604248047
-4275.0,1361.5710000000001,1361.6860604248047
-4285.0,1361.342,1361.6860604248047
-4295.0,1361.1470000000002,1361.6860604248047
-4305.0,1361.0420000000001,1361.3329879069038
